Datum,Anzahl
03.01.2011,5
04.01.2011,3
05.01.2011,1
06.01.2011,2
10.01.2011,6
11.01.2011,3
12.01.2011,4
13.01.2011,1
14.01.2011,3
17.01.2011,6
18.01.2011,4
19.01.2011,2
21.01.2011,3
24.01.2011,3
25.01.2011,4
27.01.2011,5
31.01.2011,2
01.02.2011,3
03.02.2011,3
04.02.2011,1
07.02.2011,4
08.02.2011,1
09.02.2011,5
11.02.2011,2
14.02.2011,2
15.02.2011,4
16.02.2011,2
17.02.2011,2
18.02.2011,2
21.02.2011,4
22.02.2011,4
23.02.2011,3
24.02.2011,3
25.02.2011,3
28.02.2011,3
01.03.2011,6
03.03.2011,5
04.03.2011,1
07.03.2011,3
08.03.2011,3
09.03.2011,1
10.03.2011,2
14.03.2011,7
15.03.2011,2
16.03.2011,3
17.03.2011,6
18.03.2011,3
21.03.2011,2
22.03.2011,2
24.03.2011,5
25.03.2011,2
28.03.2011,6
29.03.2011,1
30.03.2011,3
31.03.2011,1
01.04.2011,2
04.04.2011,3
05.04.2011,4
06.04.2011,3
07.04.2011,3
11.04.2011,4
12.04.2011,2
13.04.2011,3
14.04.2011,1
15.04.2011,2
18.04.2011,2
19.04.2011,4
20.04.2011,2
21.04.2011,4
26.04.2011,6
27.04.2011,4
28.04.2011,2
02.05.2011,5
04.05.2011,1
05.05.2011,4
06.05.2011,3
09.05.2011,3
10.05.2011,4
12.05.2011,2
13.05.2011,1
16.05.2011,4
17.05.2011,2
18.05.2011,3
19.05.2011,8
20.05.2011,3
23.05.2011,5
24.05.2011,3
25.05.2011,2
26.05.2011,3
27.05.2011,2
30.05.2011,2
31.05.2011,3
01.06.2011,2
06.06.2011,5
07.06.2011,5
09.06.2011,3
10.06.2011,3
14.06.2011,6
15.06.2011,5
16.06.2011,3
17.06.2011,2
20.06.2011,5
21.06.2011,3
22.06.2011,3
23.06.2011,1
24.06.2011,2
27.06.2011,2
28.06.2011,6
29.06.2011,2
30.06.2011,2
01.07.2011,3
04.07.2011,9
06.07.2011,5
08.07.2011,3
11.07.2011,3
12.07.2011,4
13.07.2011,1
14.07.2011,2
15.07.2011,2
18.07.2011,6
19.07.2011,2
20.07.2011,4
21.07.2011,3
22.07.2011,2
25.07.2011,4
26.07.2011,3
27.07.2011,1
29.07.2011,3
01.08.2011,5
03.08.2011,5
04.08.2011,1
08.08.2011,2
09.08.2011,1
10.08.2011,1
11.08.2011,3
12.08.2011,2
15.08.2011,6
16.08.2011,2
17.08.2011,4
18.08.2011,1
19.08.2011,1
22.08.2011,7
23.08.2011,1
24.08.2011,3
25.08.2011,1
26.08.2011,1
29.08.2011,5
31.08.2011,1
01.09.2011,1
02.09.2011,7
06.09.2011,3
07.09.2011,2
08.09.2011,3
12.09.2011,6
13.09.2011,4
14.09.2011,6
16.09.2011,4
19.09.2011,4
21.09.2011,6
22.09.2011,2
23.09.2011,3
26.09.2011,2
27.09.2011,2
28.09.2011,4
29.09.2011,1
30.09.2011,5
04.10.2011,1
05.10.2011,4
06.10.2011,2
07.10.2011,2
10.10.2011,4
11.10.2011,2
12.10.2011,4
13.10.2011,3
14.10.2011,4
18.10.2011,5
19.10.2011,2
20.10.2011,4
21.10.2011,1
24.10.2011,5
25.10.2011,1
26.10.2011,1
27.10.2011,5
28.10.2011,1
31.10.2011,1
01.11.2011,3
02.11.2011,4
03.11.2011,2
07.11.2011,6
08.11.2011,2
09.11.2011,3
10.11.2011,1
11.11.2011,2
14.11.2011,1
15.11.2011,3
16.11.2011,6
17.11.2011,2
18.11.2011,2
21.11.2011,2
22.11.2011,6
24.11.2011,3
25.11.2011,3
28.11.2011,5
29.11.2011,5
30.11.2011,1
01.12.2011,3
05.12.2011,4
06.12.2011,2
07.12.2011,3
08.12.2011,1
12.12.2011,5
13.12.2011,2
15.12.2011,2
16.12.2011,2
19.12.2011,1
20.12.2011,2
21.12.2011,3
02.01.2012,1
03.01.2012,2
04.01.2012,1
05.01.2012,4
06.01.2012,2
09.01.2012,6
10.01.2012,2
12.01.2012,5
13.01.2012,4
16.01.2012,6
19.01.2012,1
20.01.2012,2
23.01.2012,5
24.01.2012,2
25.01.2012,6
26.01.2012,1
30.01.2012,4
31.01.2012,5
01.02.2012,4
06.02.2012,7
07.02.2012,4
08.02.2012,3
10.02.2012,1
13.02.2012,2
14.02.2012,3
15.02.2012,3
16.02.2012,1
17.02.2012,1
20.02.2012,4
21.02.2012,1
22.02.2012,6
23.02.2012,1
24.02.2012,1
27.02.2012,6
28.02.2012,3
29.02.2012,2
01.03.2012,2
02.03.2012,2
05.03.2012,5
07.03.2012,4
09.03.2012,2
12.03.2012,4
13.03.2012,3
14.03.2012,3
16.03.2012,3
19.03.2012,2
20.03.2012,6
21.03.2012,3
22.03.2012,4
23.03.2012,2
27.03.2012,4
28.03.2012,3
29.03.2012,3
30.03.2012,1
02.04.2012,4
04.04.2012,2
05.04.2012,4
10.04.2012,6
12.04.2012,3
16.04.2012,7
17.04.2012,2
18.04.2012,3
19.04.2012,2
20.04.2012,2
23.04.2012,6
24.04.2012,4
25.04.2012,3
26.04.2012,1
27.04.2012,1
02.05.2012,4
03.05.2012,4
07.05.2012,4
08.05.2012,2
09.05.2012,2
10.05.2012,2
11.05.2012,2
14.05.2012,7
16.05.2012,3
21.05.2012,6
22.05.2012,3
23.05.2012,3
24.05.2012,2
25.05.2012,4
29.05.2012,4
30.05.2012,5
31.05.2012,1
01.06.2012,2
04.06.2012,3
05.06.2012,3
06.06.2012,4
08.06.2012,1
11.06.2012,6
12.06.2012,3
13.06.2012,1
14.06.2012,2
15.06.2012,1
18.06.2012,4
20.06.2012,4
21.06.2012,1
25.06.2012,9
27.06.2012,5
28.06.2012,2
29.06.2012,3
03.07.2012,1
04.07.2012,2
05.07.2012,2
09.07.2012,6
10.07.2012,4
11.07.2012,1
12.07.2012,2
13.07.2012,2
16.07.2012,5
18.07.2012,2
19.07.2012,3
20.07.2012,2
23.07.2012,4
24.07.2012,4
25.07.2012,2
27.07.2012,3
30.07.2012,1
31.07.2012,5
02.08.2012,4
06.08.2012,1
07.08.2012,5
09.08.2012,1
10.08.2012,2
13.08.2012,2
14.08.2012,4
15.08.2012,1
16.08.2012,3
20.08.2012,3
21.08.2012,1
22.08.2012,6
23.08.2012,3
24.08.2012,1
27.08.2012,1
28.08.2012,5
29.08.2012,2
30.08.2012,2
31.08.2012,3
03.09.2012,1
04.09.2012,3
05.09.2012,1
06.09.2012,1
07.09.2012,1
10.09.2012,2
11.09.2012,5
12.09.2012,2
13.09.2012,5
14.09.2012,1
17.09.2012,3
18.09.2012,8
19.09.2012,3
21.09.2012,2
25.09.2012,8
27.09.2012,4
28.09.2012,1
01.10.2012,3
02.10.2012,3
04.10.2012,4
05.10.2012,4
09.10.2012,2
10.10.2012,2
11.10.2012,2
12.10.2012,2
16.10.2012,9
17.10.2012,1
18.10.2012,2
19.10.2012,3
22.10.2012,5
23.10.2012,5
24.10.2012,2
26.10.2012,2
29.10.2012,3
30.10.2012,4
01.11.2012,3
02.11.2012,1
05.11.2012,3
06.11.2012,5
07.11.2012,5
08.11.2012,1
12.11.2012,6
13.11.2012,3
14.11.2012,2
15.11.2012,2
16.11.2012,2
19.11.2012,1
20.11.2012,9
21.11.2012,4
22.11.2012,3
26.11.2012,5
27.11.2012,3
28.11.2012,4
29.11.2012,4
03.12.2012,2
04.12.2012,4
05.12.2012,2
06.12.2012,1
07.12.2012,1
10.12.2012,7
11.12.2012,4
12.12.2012,2
13.12.2012,1
17.12.2012,2
18.12.2012,5
19.12.2012,1
